ID,name,LABEL
ACT001,Numbering Plan Identifier (NPI) method,ACT
ACT002,Escape code method,ACT
ACT003,topics for study,ACT
ACT004,test methods,ACT
ACT005,characterizing these parameters,ACT
ACT006,factory measurements,ACT
ACT007,fitting procedures,ACT
ACT008,macrobend loss,ACT
ACT009,The far-field scan,ACT
ACT010,revised reference test method,ACT
ACT011,The variable aperture technique,ACT
ACT012,polarization mode dispersion (PMD),ACT
ACT013,pulse spreading,ACT
ACT014,distortions,ACT
ACT015,Stimulated Brillouin scattering,ACT
ACT016,far-field scan (FFS) technique,ACT
ACT017,variable aperture (VA) technique,ACT
ACT018,near-field scan (NFS) technique,ACT
ACT019,DATA COMPRESSION PROCEDURES,ACT
ACT020,transmission,ACT
ACT021,data compression procedures,ACT
ACT022,data compression function,ACT
ACT023,control codeword,ACT
ACT024,command code,ACT
ACT025,DCE-to-DCE signalling,ACT
ACT026,compressed operation,ACT
ACT027,Transitions between the modes,ACT
ACT028,compressed mode,ACT
ACT029,transparent mode,ACT
ACT030,uncompressed operation,ACT
ACT031,Escape in Data,ACT
ACT032,Enter Transparent Mode,ACT
ACT033,Enter Compressed Mode,ACT
ACT034,Data flow control,ACT
ACT035,controlling,ACT
ACT036,OFF,ACT
ACT037,ON,ACT
ACT038,select,ACT
ACT039,slow the data flow,ACT
ACT040,reducing the clock rate,ACT
ACT041,is conceivable,ACT
ACT042,Data compression procedures,ACT
ACT043,WTSA Resolution 1,ACT
ACT044,procedure,ACT
ACT045,prepared on a collaborative basis,ACT
ACT046,the practice or implementation,ACT
ACT047,negotiation,ACT
ACT048,Parameter Mode negotiation,ACT
ACT049,SABME,ACT
ACT050,disconnect,ACT
ACT051,Revision,ACT
ACT052,distortion,ACT
ACT053,recommendation,ACT
ACT054,single standard for each type of modem,ACT
ACT055,studied,ACT
ACT056,Recommendations,ACT
ACT057,An example of statistical link design,ACT
ACT058,measurements,ACT
ACT059,tests normally carried out on installed single-mode optical fibre cable links,ACT
ACT060,Test methods,ACT
ACT061,installed,ACT
ACT062,trace analysis,ACT
ACT063,splice loss measurement,ACT
ACT064,measurement,ACT
ACT065,Attenuation,ACT
ACT066,Single-mode attenuation and optical return loss measurement,ACT
ACT067,Examinations and measurements,ACT
ACT068,Visual inspection of fibre optic connectors and fibre-stub transceivers,ACT
ACT069,cut-off wavelength shifted,ACT
ACT070,delivered,ACT
ACT071,modelling,ACT
ACT072,dense wavelength division multiplexing (DWDM) systems,ACT
ACT073,coarse wavelength division multiplexing (CWDM) systems,ACT
ACT074,two measurements being made simultaneously,ACT
ACT075,check the satisfactory working,ACT
ACT076,analogue-type measurements,ACT
ACT077,incoming call,ACT
ACT078,routine loop test,ACT
ACT079,continue to function,ACT
ACT080,established,ACT
ACT081,scrambling,ACT
ACT082,the recognition of this pattern,ACT
ACT083,Manual control,ACT
ACT084,Automatic control,ACT
