ID,name,LABEL
FUN001,numbering plan interworking,FUN
FUN002,Numbering Plan Identifier (NPI) method,FUN
FUN003,Escape code method,FUN
FUN004,Recommendations,FUN
FUN005,numbering and addressing principles,FUN
FUN006,traffic routing,FUN
FUN007,routing plan for interconnection between public land mobile networks and fixed terminal networks,FUN
FUN008,data transmission services,FUN
FUN009,call control,FUN
FUN010,source or destination of data,FUN
FUN011,functions required to establish, maintain, and terminate a connection,FUN
FUN012,signal conversion and coding,FUN
FUN013,linear, deterministic parameters,FUN
FUN014,test methods,FUN
FUN015,reference test methods,FUN
FUN016,alternative test methods,FUN
FUN017,polarization mode dispersion,FUN
FUN018,chromatic dispersion,FUN
FUN019,macrobend loss,FUN
FUN020,test method,FUN
FUN021,coherent multipath interference (MPI),FUN
FUN022,The far-field scan,FUN
FUN023,The variable aperture technique,FUN
FUN024,first alternative test method,FUN
FUN025,Transmission media and optical systems characteristics,FUN
FUN026,Definitions and test methods,FUN
FUN027,polarization mode dispersion (PMD),FUN
FUN028,principal states of polarization (PSPs),FUN
FUN029,output polarizations,FUN
FUN030,differential group delay (DGD),FUN
FUN031,PMD value,FUN
FUN032,linear average 〈Δτ〉,FUN
FUN033,effective area (Aeff),FUN
FUN034,non-linear coefficient (n2/Aeff),FUN
FUN035,Stimulated Brillouin scattering,FUN
FUN036,far-field scan (FFS) technique,FUN
FUN037,variable aperture (VA) technique,FUN
FUN038,near-field scan (NFS) technique,FUN
FUN039,polarization mode dispersion statistics,FUN
FUN040,Recommendation V.42 bis,FUN
FUN041,DATA COMPRESSION PROCEDURES,FUN
FUN042,ERROR CORRECTING PROCEDURES,FUN
FUN043,Recommendation V.42,FUN
FUN044,error correction procedures,FUN
FUN045,data compression procedures,FUN
FUN046,data compression,FUN
FUN047,data compression function,FUN
FUN048,start-stop or asynchronous format,FUN
FUN049,ordinal value,FUN
FUN050,control codeword,FUN
FUN051,control information,FUN
FUN052,compression function,FUN
FUN053,command code,FUN
FUN054,tree structure,FUN
FUN055,leaf node,FUN
FUN056,root node,FUN
FUN057,compressed operation,FUN
FUN058,automatic,FUN
FUN059,compressed mode,FUN
FUN060,transparent mode,FUN
FUN061,compression,FUN
FUN062,uncompressed operation,FUN
FUN063,escape character,FUN
FUN064,EID,FUN
FUN065,ETM,FUN
FUN066,ECM,FUN
FUN067,Data flow control,FUN
FUN068,guidance for the choice of an appropriate method for, and the implementation of,FUN
FUN069,Circuit 106,FUN
FUN070,Circuit 112,FUN
FUN071,DC3/DC1 characters,FUN
FUN072,Circuit 114,FUN
FUN073,Asynchronous mode of operation,FUN
FUN074,Synchronous mode of operation,FUN
FUN075,Data compression procedures,FUN
FUN076,Data Compression Procedures,FUN
FUN077,XID capability parameter,FUN
FUN078,Parameter Mode negotiation,FUN
FUN079,V.44 default parameter values,FUN
FUN080,chromatic dispersion coefficient,FUN
FUN081,standardizing telecommunications on a worldwide basis,FUN
