ID,name,LABEL
IDEN001,ITU-T E.166/X.122,IDEN
IDEN002,E.164 numbering plan,IDEN
IDEN003,X.121 numbering plan,IDEN
IDEN004,Integrated Services Digital Networks (ISDNs),IDEN
IDEN005,Public Switched Telephone Networks (PSTNs),IDEN
IDEN006,Packet Switched Public Data Networks (PSPDNs),IDEN
IDEN007,World Telecommunication Standardization Conference (WTSC),IDEN
IDEN008,ITU-T Study Groups,IDEN
IDEN009,Recommendation I.330,IDEN
IDEN010,Recommendation X.121,IDEN
IDEN011,Recommendation E.160,IDEN
IDEN012,Recommendation E.164,IDEN
IDEN013,Recommendation E.165,IDEN
IDEN014,Recommendation E.170,IDEN
IDEN015,Recommendation E.172,IDEN
IDEN016,Recommendation E.173,IDEN
IDEN017,Recommendation Q.931,IDEN
IDEN018,Recommendation X.25,IDEN
IDEN019,Recommendation X.28,IDEN
IDEN020,Recommendation X.31,IDEN
IDEN021,ISDN,IDEN
IDEN022,Recommendation X.32,IDEN
IDEN023,Recommendation X.38,IDEN
IDEN024,Recommendation X.75,IDEN
IDEN025,Recommendation X.110,IDEN
IDEN026,Recommendation X.300,IDEN
IDEN027,Recommendation X.301,IDEN
IDEN028,Data Terminal Equipment (DTE),IDEN
IDEN029,Data Circuit-terminating Equipment (DCE),IDEN
IDEN030,DTE,IDEN
IDEN031,ITU-T G.650.1,IDEN
IDEN032,Recommendation ITU-T G.650.1,IDEN
IDEN033,appendices I, II and III,IDEN
IDEN034,clauses 3.4 and 5.2,IDEN
IDEN035,clause 5.1.4,IDEN
IDEN036,appendices IV, V and VI,IDEN
IDEN037,Annex A,IDEN
IDEN038,ITU-T G.652 fibre,IDEN
IDEN039,ITU-T G.654.E fibre,IDEN
IDEN040,ITU-T G.655,IDEN
IDEN041,ITU-T G.656,IDEN
IDEN042,ITU-T G.653,IDEN
IDEN043,International Telecommunication Union (ITU),IDEN
IDEN044,International Telecommunication Union,IDEN
IDEN045,ITU-T G.650.2,IDEN
IDEN046,differential group delay (DGD),IDEN
IDEN047,DGD,IDEN
IDEN048,PMDAVG,IDEN
IDEN049,n2/Aeff,IDEN
IDEN050,CCITT,IDEN
IDEN051,ITU,IDEN
IDEN052,Recommendation V.42 bis,IDEN
IDEN053,Resolution No. 2,IDEN
IDEN054,V-Series DCEs,IDEN
IDEN055,general switched telephone network (GSTN),IDEN
IDEN056,Recommendation V.42,IDEN
IDEN057,DCEs,IDEN
IDEN058,Figure 1/V.42 bis,IDEN
IDEN059,error-correcting DCE,IDEN
IDEN060,Recommendations V.7 [4] and V.14 [5],IDEN
IDEN061,characters,IDEN
IDEN062,EID,IDEN
IDEN063,command code,IDEN
IDEN064,ETM,IDEN
IDEN065,ECM,IDEN
IDEN066,ITU-T Recommendation V.43,IDEN
IDEN067,WTSC Resolution No. 1,IDEN
IDEN068,DCE,IDEN
IDEN069,Circuit 106,IDEN
IDEN070,Circuit 112,IDEN
IDEN071,DC3/DC1 characters,IDEN
IDEN072,circuit 104,IDEN
IDEN073,Circuit 114,IDEN
IDEN074,ITU-T V.44,IDEN
IDEN075,Corrigendum 1,IDEN
IDEN076,ITU-T Study Group 16,IDEN
IDEN077,ITU-T Recommendation V.44,IDEN
IDEN078,WTSA Resolution 1,IDEN
IDEN079,ITU Telecommunication Standardization Sector (ITU-T),IDEN
IDEN080,World Telecommunication Standardization Assembly (WTSA),IDEN
IDEN081,ISO and IEC,IDEN
IDEN082,Administration,IDEN
IDEN083,Intellectual Property Rights,IDEN
IDEN084,TSB patent database,IDEN
IDEN085,XID capability parameter,IDEN
IDEN086,V.44 capability parameter value,IDEN
IDEN087,V.44 capability parameter,IDEN
IDEN088,SABME,IDEN
IDEN089,initiating modem,IDEN
IDEN090,Table A.1/V.44,IDEN
IDEN091,Encoder History,IDEN
IDEN092,17,IDEN
IDEN093,Decoder History,IDEN
IDEN094,Clause II.1,IDEN
IDEN095,Stage 10,IDEN
IDEN096,Geneva, 2002,IDEN
IDEN097,ITU-T Recommendation V.50,IDEN
IDEN098,Recommendation V.50,IDEN
IDEN099,Recommendation V.53,IDEN
IDEN100,modem V.21,IDEN
IDEN101,modem V.23,IDEN
IDEN102,signals at point A - Figure 1/V.51,IDEN
IDEN103,Recommendation V.21 modem,IDEN
IDEN104,ISO,IDEN
IDEN105,ITU-T G.652,IDEN
IDEN106,M,IDEN
IDEN107,Dispersion un-shifted optical fibre,IDEN
IDEN108,I.1,IDEN
IDEN109,I.6,IDEN
IDEN110,G.652.D fibre,IDEN
IDEN111,clause 7,IDEN
IDEN112,cable cut-off wavelength λcc,IDEN
IDEN113,fibre cut-off wavelength λc,IDEN
IDEN114,wavelength,IDEN
IDEN115,wavelengths,IDEN
IDEN116,ITU-T G.650.3,IDEN
IDEN117,optical time domain reflectometer (OTDR),IDEN
IDEN118,ITU-T G.657,IDEN
IDEN119,IEC 60793-1-40,IDEN
IDEN120,IEC 61280-4-2,IDEN
IDEN121,IEC 61280-4-4,IDEN
IDEN122,IEC 61281-1,IDEN
IDEN123,IEC/TR 61282-7,IDEN
IDEN124,IEC/TR 61282-9,IDEN
IDEN125,IEC 61300-3-6,IDEN
IDEN126,IEC 61300-3-35,IDEN
IDEN127,IEC/TR 61931,IDEN
IDEN128,ITU-T G.651.1,IDEN
IDEN129,50/125 µm multimode graded index optical fibre cable,IDEN
IDEN130,IEC 60793-2-10,IDEN
IDEN131,IEEE 802.3 Ethernet system standards,IDEN
IDEN132,ISO/IEC 11801-1,IDEN
IDEN133,multimode fibre,IDEN
IDEN134,OMx cabled fibre categories,IDEN
IDEN135,ITU-T,IDEN
IDEN136,ITU-T Study Group 14,IDEN
IDEN137,ITU-T Recommendation V.130,IDEN
IDEN138,Terminal Adaptor (TA),IDEN
IDEN139,TE2,IDEN
IDEN140,TE2 (non-ISDN) terminal,IDEN
IDEN141,Recommendation I.411,IDEN
IDEN142,modec,IDEN
IDEN143,digital modem,IDEN
IDEN144,modem,IDEN
IDEN145,codec,IDEN
IDEN146,BC,IDEN
IDEN147,CLI,IDEN
IDEN148,Calling Line Identification,IDEN
IDEN149,HLC,IDEN
IDEN150,IPE,IDEN
IDEN151,IWF,IDEN
IDEN152,LLC,IDEN
IDEN153,MIB,IDEN
IDEN154,MSN,IDEN
IDEN155,MTA,IDEN
IDEN156,NT,IDEN
IDEN157,PID,IDEN
IDEN158,SUB,IDEN
IDEN159,UDI-TA,IDEN
IDEN160,R reference point,IDEN
IDEN161,S reference points,IDEN
IDEN162,S reference point,IDEN
IDEN163,Functional Groups,IDEN
IDEN164,Terminal Adaptor,IDEN
IDEN165,TA,IDEN
IDEN166,V-Series DTE,IDEN
IDEN167,GSTN,IDEN
IDEN168,3.1 kHz audio bearer service,IDEN
IDEN169,ITU-T G.654,IDEN
IDEN170,Recommendation ITU-T G.654,IDEN
IDEN171,cut-off shifted fibre (CSF),IDEN
IDEN172,6.6,IDEN
IDEN173,6.10,IDEN
IDEN174,ITU-T G.696.1,IDEN
IDEN175,ITU-T G.957,IDEN
IDEN176,ITU-T G.973,IDEN
IDEN177,b-ITU-T G.973.1,IDEN
IDEN178,b-ITU-T G.973.2,IDEN
IDEN179,b-ITU-T G.977.1,IDEN
IDEN180,ITU-T G.973.1,IDEN
IDEN181,b-ITU-T G.973,IDEN
IDEN182,ITU-T G.973.2,IDEN
IDEN183,ITU-T G.977.1,IDEN
IDEN184,ITU-T Study Group 15,IDEN
IDEN185,Recommendation ITU-T G.655,IDEN
IDEN186,ITU-T Recommendations,IDEN
IDEN187,Recommendation ITU-T G.656,IDEN
IDEN188,CWDM,IDEN
IDEN189,DWDM,IDEN
IDEN190,λcc,IDEN
IDEN191,ITU-T Recommendation V.53,IDEN
