ID,name,LABEL
VALUE001,linear, deterministic parameters,VALUE
VALUE002,core concentricity error,VALUE
VALUE003,four predictor wavelengths,VALUE
VALUE004,three predictor wavelengths,VALUE
VALUE005,sixth version,VALUE
VALUE006,maximum numerical aperture of 0.4,VALUE
VALUE007,wavelength longer than the cut -off wavelength,VALUE
VALUE008,optical frequency,VALUE
VALUE009,differential group delay (DGD),VALUE
VALUE010,[τ(ν) in ps],VALUE
VALUE011,PMD value,VALUE
VALUE012,DGD values Δτ(ν),VALUE
VALUE013,effective area (Aeff),VALUE
VALUE014,non-linear coefficient (n2/Aeff),VALUE
VALUE015,polarization mode dispersion statistics,VALUE
VALUE016,31st of January 1990,VALUE
VALUE017,improved error performance,VALUE
VALUE018,improved throughput,VALUE
VALUE019,character,VALUE
VALUE020,predefined number of bits,VALUE
VALUE021,N3 = 8,VALUE
VALUE022,ordinal value,VALUE
VALUE023,numerical equivalent,VALUE
VALUE024,alphabet,VALUE
VALUE025,codeword,VALUE
VALUE026,range 0 to N2 - 1,VALUE
VALUE027,same initial character,VALUE
VALUE028,last character in a string,VALUE
VALUE029,first character in a string,VALUE
VALUE030,uncompressed form,VALUE
VALUE031,6th of February 1998,VALUE
VALUE032,data signalling rates,VALUE
VALUE033,29 March 2002,VALUE
VALUE034,every four years,VALUE
VALUE035,latest information,VALUE
VALUE036,values,VALUE
VALUE037,parameter values,VALUE
VALUE038,V.44 default parameter values,VALUE
VALUE039,17,VALUE
VALUE040,1988, 1993,VALUE
VALUE041,data transmission quality,VALUE
VALUE042,telegraph distortion,VALUE
VALUE043,degree of signal distortion,VALUE
VALUE044,certain limits,VALUE
VALUE045,degree of distortion on received signals,VALUE
VALUE046,margin of the receiving equipment,VALUE
VALUE047,sending distortion,VALUE
VALUE048,limits,VALUE
VALUE049,20-25%,VALUE
VALUE050,600 bauds - leased circuits,VALUE
VALUE051,20-30%,VALUE
VALUE052,1200 bauds - leased circuits,VALUE
VALUE053,25-35%,VALUE
VALUE054,600 bauds - switched circuit,VALUE
VALUE055,25-30%,VALUE
VALUE056,1200 bauds - switched circuit,VALUE
VALUE057,30-35%,VALUE
VALUE058,modulation rates,VALUE
VALUE059,90%,VALUE
VALUE060,200 bauds,VALUE
VALUE061,4.5 milliseconds,VALUE
VALUE062,zero-dispersion wavelength around 1310 nm,VALUE
VALUE063,1310 nm wavelength region,VALUE
VALUE064,1550 nm wavelength region,VALUE
VALUE065,chromatic dispersion coefficient,VALUE
VALUE066,number of concatenated cable pieces,VALUE
VALUE067,1 to 16,VALUE
VALUE068,Mode field diameter,VALUE
VALUE069,Cladding diameter,VALUE
VALUE070,Core concentricity error,VALUE
VALUE071,Non-circularity,VALUE
VALUE072,Cut-off wavelength,VALUE
VALUE073,Macrobending loss,VALUE
VALUE074,Refractive index profile,VALUE
VALUE075,Longitudinal uniformity of chromatic dispersion,VALUE
VALUE076,Chromatic dispersion,VALUE
