from,to,relation
ACT007,FUN018,relevant
ACT025,FUN050,relevant
ACT025,FUN053,relevant
ACT047,FUN1979,undo
ACT049,IDEN089,execute
ACT049,VALUE037,isReliedOn
ACT051,STR_COM146,relevant
ACT052,APP_CON046,isInfluenced
ACT053,APP_CON811,undo
ACT053,FUN1020,relevant
ACT053,FUN1024,relevant
ACT054,FUN1959,isInfluenced
ACT058,APP_CON1078,relevant
ACT058,APP_CON1079,relevant
ACT058,FUN2396,relevant
ACT060,APP_CON075,relevant
ACT062,FUN105,undo
ACT067,STR_COM206,relevant
ACT067,STR_COM208,relevant
ACT069,APP_CON055,isInfluenced
ACT069,VALUE064,relevant
ACT072,APP_CON074,limit
ACT072,APP_CON099,relevant
ACT072,FUN131,relevant
ACT072,FUN2421,relevant
ACT072,STR_COM3857,relevant
ACT072,STR_COM3866,relevant
ACT072,STR_COM3879,relevant
ACT072,STR_COM3919,relevant
ACT072,STR_COM3925,relevant
ACT073,APP_CON098,relevant
ACT073,FUN080,relevant
ACT076,FUN158,relevant
ACT077,FUN163,isInfluenced
ACT077,FUN163,relevant
ACT077,FUN172,undo
ACT078,FUN163,isInfluenced
ACT078,FUN163,relevant
ACT093,APP_CON114,relevant
ACT100,STR_COM386,relevant
ACT1008,FUN1926,relevant
ACT1009,FUN1928,relevant
ACT101,FUN211,undo
ACT101,FUN212,undo
ACT101,FUN213,undo
ACT101,FUN214,undo
ACT101,FUN216,undo
ACT101,FUN221,undo
ACT101,FUN223,undo
ACT101,FUN224,undo
ACT101,FUN225,undo
ACT101,FUN226,undo
ACT101,FUN227,undo
ACT101,FUN228,undo
ACT1010,FUN1932,isInfluenced
ACT102,FUN215,undo
ACT102,FUN217,undo
ACT102,FUN218,undo
ACT102,FUN219,undo
ACT102,FUN220,undo
ACT102,FUN222,undo
ACT1029,FUN1966,undo
ACT1029,FUN1967,undo
ACT103,APP_CON128,relevant
ACT103,FUN075,relevant
ACT103,IDEN370,relevant
ACT103,IDEN693,relevant
ACT103,STR_COM133,relevant
ACT103,STR_COM141,relevant
ACT103,STR_COM2815,relevant
ACT103,STR_COM3582,relevant
ACT103,STR_COM3590,relevant
ACT103,STR_COM4056,relevant
ACT103,STR_COM417,undo
ACT103,STR_COM523,relevant
ACT103,STR_COM766,relevant
